album,artist
Día,Ela Minus
Songs for You,Bridget Mae Powers
Debí Tirar Más Fotos,Bad Bunny
Perverts,Ethel Cain
Full Moon,Moonchild Sanelly
Who Let The Dogs Out,Lambrini Girls
Balloonerism,Mac Miller
WHAM,Lil Baby
Humanhood,The Weather Station
Lower,Benjamin Booker
Mapambazuko,Ale Hop & Titi Bakorta
Héritage,Songhoy Blues
I Still Want to Share,Sophie Jamieson
You Are the Morning,jasmine.4.t
Southern Bell Raisin Hell,Willow Avalon
Sicario,Shubh
Louder, Please,Rose Gray
Dearlife,David Gray
We Are Always Under the Same Sky,Qrion
Eusexua,FKA twigs
Blurb,baba stiltx & Okay Kaya
The Judge,Desire
Glutton for Punishment,Heartworms
Basspunk 2,bassvictim
West Coast,Studio
End of the Middle,Richard Dawson
Cowards,Squid
Renascence,Cymande
Phonetics On and On,Horsegirl
Slowly, It Dawns,Victoria Canal
Decius Vol. II (Splendour & Obedience),Decius
Love You All Over Again,Tunng
All Living Things,Park Jiha
Violet,L.S. Dunes
Divinations,Oracle Sisters
choke enough,oklou
Journal d’un Loup-Garou,Lou-Adriane Cassidy
Echo Still Remains,Robert Ascroft
Dear Psilocybin,Zelooperz
NYAA WA,Charlie Needs Braces
Serene Demon,Art D’Ecco
Anything at All,Denison Whitmer
Cryogeyser,Cryogeyser
la Chinita,Laura Perez
Boy on The Run,Shaolin Cowboy
Icarus,SAIAH
O Mundo Dá Voltas,BaianaSystem
Luminescent Creatures,Ichiko Aoba
Nothing,Darkside
Only the Singer,Domestic Drafts
In Space,Edith Frost
City of Clowns,Marie Davidson
PLДYING / PRДYING,KOMPROMAT
Eternal Reverie,Tokimonsta
I Blow Out Big Candles (With A Cherry On Top),Freak Slug
Métamorphose,Chien Méchant
Kingo’s Treat,Fredrik Svabo
HOMESTEAD AND HOLLENBECK,Antwon
Peace Reign,Yukumi & Little Dragon
BLABLABLA,Blasé
For Melancholy Brunettes,Japanese Breakfast
EARTHBREAKS,South Hill Experiment
Night Life,The Horrors
TELL DEM IT’S SUNNY,Greentea Peng
Without Us,Daniel Brandt
Only Dust Remains,Backxwash
Antigone,Eiko Ishibashi
Forever is a Feeling,Lucy Dacus
Portrait of My Heart,Spelling
For You,Yukimi
Glory,Perfume Genius
Patience, Moonbeam,Great Grandpa
III,Elephant
SAYA,Saya Gray
Now You See Me, Now You Don’t,Marina Zispin
Spring Grove,The Ophelias
Para Mytho Disco,Kapote
On Being,Max Cooper
Two Lives,Wet
Grand Voyage,Tapeworms
ii,DESTINO & Yuksek
Welcome to my Blue Sky,Momma
Stillness, softness,Hinako Omori
digi-squires,Sam Gendel & Nate Mercereau
Wishful Thinking,duval timothy
Voice Wave,Pacific Coliseum & Teen Daze
Hymnal,Lyra Pamuk
The Universe Will Take Care of You,James Holden & Wacław Zimpel
A Room With a Door That Closes,Maiya Blaney
BITE ME,Renee Rapp
Man’s Best Friend,Sabrina Carpenter
Africa Express Presents... Bahidorá,Africa Express
Cancionera,Natalia Lafourcade
The Life of A Showgirl,Taylor Swift
So Close To What,Tate McRae
Racing Mount Pleasant,Racing Mount Pleasant
Maruja,Maruja
Vanisher, Horizon Scraper,Quadeca
Egotrip,John Michel & Anthony James
Portal,Balu Brigada
DAISY,rusowsky
Baby,Dijon
Addison,Addison Rae
A Complicated Woman,Self Esteem
.(...),Kesha
Something Beautiful,Miley Cyrus
MAYHEM,Lady Gaga
Getting Killed,Geese
Some Kind of Cadwallader,Algernon Cadwallader
Y’all,glaive
Gut Feeling,Bickle
Internal Rituals,Eleri Ward
Animal,Blue Lake
Snooper,Snooper
Cut & Rewind,Say She She
The Spiritual Sound,Agriculture
Post Heaven,Jadu Heart
Horses,Tobacco City
WE WERE JUST THERE,Just Mustard
Stars Stars Stars,Lemonade Baby
Entrance Music,Okonski
Ace,Madison Cunningham
The Life You Save,Flock of Dimes
GUSH,Kaitlyn Aurelia Smith
The Most Dear and the Future,ear
UNREAL,Halina Rice
Oha,Kaccera
All Systems Are Lying,Soulwax
Deadbeat,Tame Impala
From the Lyre,The Last Dinner Party
The Smashing Machine,Nala Sinephro
Some Like It Hot,Bar Italia
BLINK,Bob Moses
DARE,MEULE
Water Memory,Mia Garcia
Crumbs 2,Getdown Services
LUX,Rosalía
Buletten & Blumen,Siriusmo
Pirouette,Model/Actriz
45 Pounds,YHWH Nailgun
Giving Up On Words,Mindchatter
Good Life,Take the W
Rochelle Jordan,Rochelle Jordan
Bubble Love,Bubble Love
Drifting Deeper,16 Underground
Love Made Trees,Loaded Honey
I Quit,HAIM
28 Years Later,Young Fathers
Dance Called Memory,Nation of Language
Friend,James K
Bleeds,Wednesday
A Tropical Entropy,Nick León
DJ Set,Mouseatouille
Free Flow,Inwards
Micrographia,Bug Teeth
Ravel Recomposed,Victor La Manse
Chewing the Fat,Franc Moody
I got a good night’s sleep,holybones
Cadet,Twin Shadow
Something Soft,Mhaol
Nestled in Tangles,Hannah Frances
Snocaps,Snocaps
I’m Nice Now,Upchuck
Revengeseeker,Jane Remover
Very Human Features,The Bug Club
System,Prewn
Goodbyehouse,Snuggle
Switcheroo,Gelli Haha
It’s a Beautiful Place,Water From Your Eyes
The BPM,Sudan Archives
2,Foxwarren
SIT AND GRIN,Slash Need
Albarrone,Baxter Dury
Swirl,Flora Hibberd
do it afraid,Yaya Bey
GOOD FOR THE SOUL,GANS
Weirdo,Emma-Jean Thackray
ONDATONDA,Ceri Wax
A Paradise in the Hold,Yazz Ahmed
